
2025-12-19T16:04:34.193839900 | Принтер ініціалізовано.
2025-12-19T16:04:34.199498900 | --- Стан принтера ---
2025-12-19T16:04:34.199498900 |  - Рівень чорнила: 100%
2025-12-19T16:04:34.199498900 |  - Папір у лотку: 100
2025-12-19T16:04:34.199498900 |  - Завдань немає.
2025-12-19T16:04:34.199498900 | ---------------------
2025-12-19T16:04:34.201637100 | Створено завдання: Документ_1
2025-12-19T16:04:34.201637100 | Надруковано документ: Документ_1
2025-12-19T16:04:34.201637100 | Залишилось чорнила: 80%
2025-12-19T16:04:34.201637100 | Залишилось паперу: 90
2025-12-19T16:04:34.201637100 | Додано папір: 50 аркушів.
2025-12-19T16:04:34.201637100 | Створено завдання: Документ_2
2025-12-19T16:04:34.201637100 | Надруковано документ: Документ_2
2025-12-19T16:04:34.201637100 | Залишилось чорнила: 40%
2025-12-19T16:04:34.201637100 | Залишилось паперу: 120
2025-12-19T16:04:34.201637100 | Помилка: недостатньо паперу для друку.
2025-12-19T16:04:34.201637100 | Немає завдання для друку.
2025-12-19T16:04:34.201637100 | Немає завдань для скасування.
2025-12-19T16:04:34.201637100 | --- Стан принтера ---
2025-12-19T16:04:34.201637100 |  - Рівень чорнила: 40%
2025-12-19T16:04:34.201637100 |  - Папір у лотку: 120
2025-12-19T16:04:34.201637100 |  - Завдань немає.
2025-12-19T16:04:34.201637100 | ---------------------
2025-12-19T16:04:34.201637100 | Принтер вимкнено. Лог закрито.
